date,close
2020-01-03,202.4
2020-01-06,201.3
2020-01-07,202.6
2020-01-08,201.0
2020-01-09,201.4
2020-01-10,207.8
2020-01-14,205.7
2020-01-15,207.0
2020-01-16,206.2
2020-01-17,201.4
2020-01-20,193.0
2020-01-21,191.4
2020-01-22,191.0
2020-01-23,182.2
2020-01-24,174.0
2020-01-27,179.0
2020-01-28,185.7
2020-01-29,180.0
2020-01-30,181.2
2020-01-31,173.0
2020-02-03,174.7
2020-02-04,175.0
2020-02-05,178.5
2020-02-06,175.2
2020-02-07,177.1
2020-02-10,179.0
2020-02-12,182.0
2020-02-13,182.9
2020-02-14,184.5
2020-02-17,186.8
2020-02-18,186.4
2020-02-19,186.6
2020-02-20,189.5
2020-02-21,184.9
2020-02-25,182.9
2020-02-26,180.4
2020-02-27,172.2
2020-02-28,172.5
2020-03-02,174.0
2020-03-03,170.5
2020-03-04,174.0
2020-03-05,168.3
2020-03-06,157.8
2020-03-09,163.2
2020-03-10,164.3
2020-03-11,160.1
2020-03-12,162.2
2020-03-13,161.8
2020-03-16,162.6
2020-03-17,161.2
2020-03-18,154.0
2020-03-19,148.9
2020-03-23,150.9
2020-03-24,153.2
2020-03-25,151.6
2020-03-26,149.6
2020-03-27,144.2
2020-03-30,145.2
2020-03-31,141.5
2020-04-01,140.6
2020-04-02,144.3
2020-04-03,146.9
2020-04-06,148.8
2020-04-07,151.3
2020-04-08,154.5
2020-04-09,153.0
2020-04-10,151.8
2020-04-13,151.4
2020-04-14,152.3
2020-04-15,151.2
2020-04-16,153.9
2020-04-17,154.9
2020-04-20,150.6
2020-04-21,147.7
2020-04-22,152.0
2020-04-23,151.5
2020-04-24,151.5
2020-04-27,150.6
2020-04-28,150.6
2020-04-30,148.8
2020-05-01,152.3
2020-05-07,152.7
2020-05-08,152.8
2020-05-11,152.3
2020-05-12,152.1
2020-05-13,151.1
2020-05-14,153.0
2020-05-15,151.4
2020-05-18,153.7
2020-05-19,154.9
2020-05-20,155.5
2020-05-21,151.5
2020-05-22,152.9
2020-05-25,154.6
2020-05-26,154.0
2020-05-27,153.6
2020-05-28,153.5
2020-05-29,154.3
2020-06-01,155.3
2020-06-02,157.0
2020-06-03,154.4
2020-06-04,159.5
2020-06-05,164.0
2020-06-08,162.9
2020-06-09,163.0
2020-06-10,160.0
2020-06-11,159.0
2020-06-12,154.3
2020-06-15,157.6
2020-06-16,157.2
2020-06-17,156.8
2020-06-18,158.2
2020-06-19,157.7
2020-06-22,157.8
2020-06-23,157.5
2020-06-24,157.4
2020-06-25,155.2
2020-06-26,154.0
2020-06-29,154.5
2020-06-30,154.4
2020-07-01,155.4
2020-07-02,155.6
2020-07-03,156.8
2020-07-06,157.4
2020-07-07,157.2
2020-07-08,157.6
2020-07-09,155.1
2020-07-10,156.8
2020-07-13,156.3
