iter	RMSE
144	0.7553789632
145	0.749653349
146	0.7444242526
147	0.7394420223
148	0.7341225702
149	0.7287635154
150	0.7232534293
151	0.7183854487
152	0.7129121939
153	0.7075079843
154	0.70233644561155	0.69708048231156	0.69210633341157	0.68681173231158	0.68167552991159	0.6765939322
160	0.6714591654
161	0.6664190448
162	0.6617462835
163	0.6568965147
164	0.6524866579
165	0.6478603962
166	0.6429971875
167	0.6385436411
168	0.6338937394
169	0.629470539
170	0.6249111785
171	0.6203850858
172	0.6156739808
173	0.6110995473
174	0.606645113
175	0.6020814696
176	0.5976924253
177	0.5935455232
178	0.5892685772
179	0.5852101768
180	0.5815231669
181	0.5777543017
182	0.5740372379
183	0.5697847653
184	0.5656965783
185	0.5616929529
186	0.5578959867
187	0.5544622692
188	0.5505173724
189	0.546428501
190	0.5427193516
191	0.539205766
192	0.5353855364
193	0.5316441205
194	0.5280365469
195	0.5246030643
196	0.5210703275
197	0.5173890661
198	0.5141529005
199	0.51197	0.389200	0.50198	0.38201	0.503199	0.38202	0.500200	0.38203	0.497201	0.38204	0.494202	0.37205	0.491203	0.37206	0.487204	0.37207	0.4845378998
208	0.481140124
690828294
080894
211	0.4977381861
212	0.493904006
213	0.4905529428
42684
209	0.1056795797
210	0.105526687
211	0.10536612
0.07725439453
209	0.07720243784
210	0.07715406261
211	0.07659043069
212	0.07622617145
213	0.07606270586
214	0.0760102286
4	0.4413826568
225	0.4388742958
226	0.4361761632
227	0.4336441243
228	0.4311563813
229	0.4286836254
230	0.4263268241
231	0.4239674862
232	0.4218026975
233	0.4194552807
234	0.4171007594
235	0.4147461399
236	0.4123592609
237	0.4098305886
238	0.4075798272
239	0.4053654344
240	0.4030210623
241	0.4010309392
242	0.3986882666
243	0.3965980468
244	0.3945237255
245	0.3923703203
246	0.3904420982
247	0.3882044934
248	0.3861622113
249	0.3841420693
250	0.3820689571
251	0.3800416642
252	0.3780210369
253	0.3759935744
254	0.3740274356
255	0.372118743
256	0.3701541185
257	0.3684397792
258	0.3663610415
259	0.3644749888
260	0.3626581076
261	0.3608959235
262	0.358962254
263	0.3570676313
264	0.3552603397
265	0.3535812062
266	0.3519166492
267	0.3500562595
268	0.3483612039
269	0.3466496027
270	0.3449361714
271	0.3430922964
272	0.3412540792
273	0.3396873447
274	0.3379622784
275	0.3363670059
276	0.3347275441
277	0.333103036
278	0.3315222534
279	0.3298800863
280	0.328204628
281	0.3266904149
282	0.3250228087
283	0.3233734718
284	0.3219047218
285	0.320506327
286	0.3190665428
287	0.3176080438
288	0.3160799821
289	0.3145903459
290	0.3131806755
291	0.3119555842
292	0.3105770754
293	0.3090883554
294	0.3075865256
295	0.3061956451
296	0.304853736
297	0.3034394918
298	0.3020717108
299	0.3007064138
300	0.2992993172
301	0.2979828936
302	0.2965921136
303	0.2952193811
304	0.2939574545
305	0.2926300279
306	0.2912811492
307	0.2899740434
308	0.2886150208
309	0.2873661647
310	0.2860680995
311	0.2848290333
312	0.2836929726
313	0.2823944228
314	0.2811834423
315	0.279996832
316	0.2788345251
317	0.2778260685
318	0.2766479637
319	0.2754776157
320	0.2743951186
321	0.2732562142
322	0.2720848994
323	0.2708074672
324	0.2696561468
325	0.2684657336
326	0.2674982897
327	0.2662615764
328	0.2652794644
329	0.2641081781
330	0.2630288634
331	0.2619452633
332	0.2608084902
333	0.2598024083
334	0.2586799268
335	0.2576100298
336	0.2565695168
337	0.2555286035
338	0.2545862315
339	0.253639747
340	0.2526569832
341	0.2516810288
342	0.2506677298
343	0.2496516408
344	0.2487136519
345	0.247815114
346	0.2468181731
347	0.2459444254
348	0.2449845215
349	0.2441252989
350	0.2432814597
351	0.2424946265
352	0.2415262685
353	0.240519656
354	0.2396847266
355	0.2388056461
356	0.2381043834
357	0.2372258291
358	0.2364163523
359	0.2355003445
360	0.2347374273
361	0.2338944843
362	0.233140914
363	0.2322723657
364	0.2313211862
365	0.2304092891
366	0.2296523502
367	0.228781911
368	0.2279278445
369	0.2272161356
370	0.2264528301
371	0.2256473046
372	0.2247808696
373	0.2240992449
374	0.223354966
375	0.2226671698
376	0.2218799026
377	0.2212125744
378	0.2203889508
379	0.2197187229
380	0.2189328307
381	0.2181343491
382	0.2172873575
383	0.2166388663
384	0.2158628677
385	0.2151500138
386	0.2143568417
387	0.2136676164
388	0.2129113691
389	0.2121624241
390	0.2115087749
391	0.2107567347
392	0.2100920987
393	0.2093927121
394	0.2086518139
395	0.2079904549
396	0.2072782122
397	0.2065744383
398	0.2057805309
399	0.2051470708
400	0.2044187327
401	0.2037023382
402	0.2030598298
403	0.2025699986
404	0.2019884603
405	0.2013178762
406	0.2007047573
407	0.2000954678
408	0.1994487012
409	0.1988449175
410	0.1982253522
411	0.1975608801
412	0.1969987934
413	0.1964014455
414	0.1957818355
415	0.1951793348
416	0.1945870573
417	0.1940101462
418	0.1934676383
419	0.1929010737
420	0.1923684808
421	0.1917361734
422	0.1911416892
423	0.1904841075
424	0.1898995216
425	0.1893903227
426	0.1888648721
427	0.1883696892
428	0.1878048084
429	0.1871802886
430	0.186647189
431	0.1860590645
432	0.1855192171
433	0.184916393
434	0.1843888895
435	0.1837771381
436	0.1832817132
437	0.1827607697
438	0.1822440324
439	0.1817184037
440	0.1811166042
441	0.1806050087
442	0.1800523238
443	0.1795524269
444	0.1789633962
445	0.1784373575
446	0.1779200364
447	0.1774061528
448	0.1768697496
449	0.176287777
450	0.1757658722
451	0.1753171204
452	0.1748437941
453	0.1742871661
454	0.1738426831
455	0.1733294132
456	0.1728069603
457	0.1723926872
458	0.1719489919
459	0.1715495594
460	0.171157035
461	0.1707497179
462	0.170323446
463	0.1699491091
464	0.1694363449
465	0.1689568376
466	0.1688005301
467	0.1683945748
468	0.1678734755
469	0.1673965332
470	0.1669586373
471	0.1665467552
472	0.1661512687
473	0.165751896
474	0.1653073561
475	0.1648749677
476	0.1644766687
477	0.1640481779
478	0.1636315128
479	0.1631531738
480	0.1627585669
481	0.1623625865
482	0.1618938851
483	0.1616091728
484	0.1611861582
485	0.1608259046
486	0.1604854639
487	0.1600779216
488	0.15968926
489	0.1594793033
490	0.1591117219
491	0.1586932805
492	0.1584161223
493	0.1579893659
494	0.1576180183
495	0.157217944
496	0.1568585143
497	0.1564948057
498	0.1561115983
499	0.1557706406
500	0.1554947035
501	0.1551622843
502	0.1549248478
503	0.154549223
504	0.1542082632
505	0.1538182871
506	0.1535598695
507	0.1531403626
508	0.1527691254
509	0.1524240769
510	0.1520631916
511	0.1517081682
512	0.1513320109
513	0.1509324137
514	0.1506267181
515	0.150238674
516	0.1499015434
517	0.1495808731
518	0.1492600517
519	0.1489220691
520	0.1485237126
521	0.148157242
522	0.1478149906
523	0.1474760403
524	0.1471814851
525	0.1468855749
526	0.1465645339
527	0.1462055277
528	0.1459294388
529	0.1457263926
530	0.1455836482
531	0.1452697731
532	0.1449321943
533	0.1446695954
534	0.1443784385
535	0.1440540117
536	0.1437020797
537	0.1434244355
538	0.1432088901
539	0.1428986915
540	0.1426414233
541	0.1424008623
542	0.1420794274
543	0.1417910352
544	0.1414746606
545	0.1412643779
546	0.1409472613
547	0.1407137021
548	0.1404527301
549	0.1401673516
550	0.1398706965
551	0.1396148896
552	0.1393317364
553	0.1390245937
554	0.1387305027
555	0.1384622986
556	0.1383385835
557	0.1380231688
558	0.1378600266
559	0.1376000168
560	0.1372982092
561	0.1370858856
562	0.1367870212
563	0.1366011224
564	0.1362618301
565	0.1360360592
566	0.1358881352
567	0.1355854081
568	0.1353739632
569	0.1351376049
570	0.1348280725
571	0.1345324288
572	0.1342721529
573	0.1340487503
574	0.133784995
575	0.1335984275
576	0.133325772
577	0.1330639702
578	0.1328904407
579	0.1325940832
580	0.1323240245
581	0.1320990509
582	0.1318405014
583	0.1315521924
584	0.131236919
585	0.1309468362
586	0.1307135591
587	0.1304442123
588	0.1302007558
589	0.129905503
590	0.1296200006
591	0.1294831632
592	0.129249523
593	0.1290141779
594	0.1287865935
595	0.1285883888
596	0.1283934461
597	0.1282102091
598	0.1280656372
599	0.1278001165
600	0.127616255
601	0.1274008365
602	0.1271685514
603	0.1269114883
604	0.1267379168
605	0.1264558817
606	0.1262260172
607	0.1260036199
608	0.1257786673
609	0.1255661205
610	0.1253599293
611	0.1251647068
612	0.1249077547
613	0.1247615093
614	0.1245352112
615	0.1242688599
616	0.1240310678
617	0.1237663499
618	0.1235491508
619	0.1233523084
620	0.1231417601
621	0.1229430034
622	0.1227141165
623	0.1225628262
624	0.1223661184
625	0.1221667975
626	0.1219684935
627	0.1218084749
628	0.1215790617
629	0.121472394
630	0.1212926323
631	0.1210491733
632	0.1208470017
633	0.1207074607
634	0.1205340822
635	0.1203681728
636	0.1201433524
637	0.1199084391
638	0.1197148681
639	0.1195836747
640	0.1194077043
641	0.119242119
642	0.1191396446
643	0.1189618922
644	0.1187606771
645	0.1185612474
646	0.1183301789
647	0.1181805876
648	0.1179303496
649	0.1177087023
650	0.117524756
651	0.1174264953
652	0.1172318509
653	0.1170471692
654	0.1168853876
655	0.1166933456
656	0.1165201556
657	0.1163343866
658	0.1161361448
659	0.1160224879
660	0.1158150244
661	0.1156075576
662	0.1154910564
663	0.1153676004
664	0.1152457806
665	0.1151046587
666	0.114966093
667	0.1147787744
668	0.1145872385
669	0.1144787198
670	0.1142646048
671	0.114168409
672	0.1139812287
673	0.1137862752
674	0.1135735217
675	0.1134531945
676	0.11330484
677	0.1131357392
678	0.112927717
679	0.1128364939
680	0.1127351889
681	0.1126347618
682	0.1125329476
683	0.1122921284
684	0.1121206944
685	0.1119449415
686	0.1117381841
687	0.1116623226
688	0.1115065783
689	0.1113460624
690	0.1111677224
691	0.1110045212
692	0.110841663
693	0.110748978
694	0.1105661295
695	0.1104293723
696	0.1102746097
697	0.1101303007
698	0.1100566874
699	0.1098914196
700	0.1097335508
701	0.109638959
702	0.1095492536
703	0.1094465732
704	0.1092637753
705	0.1090891475
706	0.1090135202
707	0.1088335339
708	0.1086379188
709	0.1085729005
710	0.1084828974
711	0.1083211234
712	0.1082441721
713	0.1081080651
714	0.1079477904
715	0.107860368
716	0.1076789715
717	0.1075000463
718	0.1074191908
719	0.1072486016
720	0.1070780719
721	0.1069972211
722	0.1068316339
723	0.1066752693
724	0.1065212995
725	0.1064288622
726	0.1063049924
727	0.1062249399
728	0.1060576154
729	0.1059855765
730	0.1057962996
731	0.1056480314
732	0.1055790835
733	0.1055148324
734	0.1054503602
735	0.1052900383
736	0.105139421
737	0.1049982676
738	0.1048976803
739	0.1048322012
740	0.1046603492
741	0.1045936694
742	0.1045077861
743	0.1043436292
744	0.1042804722
745	0.104112531
746	0.1040428428
747	0.1038996746
748	0.1037908189
749	0.1036194895
750	0.1034492941
751	0.1032883392
752	0.1032285887
753	0.103152195
754	0.1029957
755	0.1028386204
756	0.1027031313
757	0.1025789064
758	0.1024764923
759	0.1023791664
760	0.1022600252
761	0.1021111841
762	0.1019776452
763	0.101783035
764	0.1017207189
765	0.1016459588
766	0.1015876116
767	0.1014254435
768	0.1012765196
769	0.1011413175
770	0.1009981654
771	0.1008553279
772	0.1007403916
773	0.100664763
774	0.1006020041
775	0.1004355062
769	0.08757853514
770	0.08751429204
771	0.08742919381
772	0.08732010198
773	0.08724970715
774	0.08716617969
775	0.08708004084
776	0.0870019277
777	0.08693635645
778	0.08684237128
779	0.08677733846
780	0.08669623415
781	0.08660480838
782	0.08650955348
783	0.08644515729
784	0.08635977964
785	0.08626502252
786	0.08617854497
787	0.08607792594
788	0.08599879328
789	0.08592199465
790	0.08584580133
791	0.08576167061
792	0.0856923457
793	0.08561654654
794	0.08548626047
795	0.08539270211
796	0.08531730832
797	0.08525997041
798	0.08519026183
799	0.0851217871
800	0.08505757787
801	0.0849894605
802	0.08489901142
803	0.08483661341
804	0.08475920584
805	0.08468370642
806	0.08461916716
807	0.08451817314
808	0.08443196399
809	0.08436358848
810	0.08428636564
811	0.0842057615
812	0.08412520083
813	0.08404602081
814	0.08399130146
815	0.08392579901
816	0.08386376176
817	0.0837775221
818	0.0837185464
819	0.08366390713
820	0.0835860253
821	0.08351885979
822	0.08345017114
823	0.083385467
824	0.08332299678
825	0.08325212605
826	0.08317880545
827	0.08311544169
828	0.08303799686
829	0.08296073818
830	0.08288397547
831	0.08280545998
832	0.08274860779
833	0.08268641722
834	0.08260921298
835	0.08251892262
5511
834	0.07896597504
835	0.07887576164
836	0.07875469166
837	0.07870606868
838	0.07859692179
839	0.07846303303
840	0.0783599682
841	0.07830958345
842	0.07819773329
843	0.07815802506
844	0.07810835933
845	0.07800463009
846	0.0779652444
847	0.07791693495
848	0.07779102757
849	0.07770823575
850	0.07759088611
851	0.07750234681
852	0.07746196263
853	0.07742413791
854	0.07731036663
855	0.07720804173
856	0.0771839791
857	0.07706055745
858	0.07702262992
859	0.07697937743
860	0.07688322403
861	0.07683936196
862	0.07671890795
863	0.07662717878
864	0.07651385952
865	0.07646822175
866	0.07636498224
867	0.07632226373
868	0.07628455129
869	0.07624421232
870	0.07620073663
871	0.07614054964
872	0.07604742192
873	0.07596394341
874	0.07584419321
875	0.07572828963
876	0.07568918362
877	0.07562578684
878	0.07553286191
879	0.07546144515
880	0.07536369258
881	0.075327031
882	0.07522977588
883	0.07513652448
884	0.07509777009
885	0.07501616134
886	0.07490777089
887	0.07482567437
888	0.07472480534
889	0.07463716931
890	0.07460245296
891	0.07456756244
892	0.07447513741
893	0.07437753411
894	0.07427227628
895	0.07424069153
896	0.07414205278
897	0.07403633501
898	0.07393785892
899	0.073861452
900	0.07382740194
901	0.0737701957
902	0.0737106031
903	0.07361488725
904	0.07351922374
905	0.07344659191
906	0.07336230457
907	0.07332998743
908	0.07321449136
909	0.07316328663
910	0.07305794599
911	0.07297803914
912	0.07289982372
913	0.07286447328
914	0.07280103955
915	0.07270273227
916	0.0726017844
917	0.0724972883
918	0.07241271499
919	0.0723176764
920	0.07227821953
921	0.07217306533
922	0.07214188428
923	0.07203737997
924	0.07198971206
925	0.07189473381
926	0.07179218776
927	0.07170085332
928	0.07160937165
929	0.0715731412
930	0.07150151122
931	0.07146790507
932	0.07137951717
933	0.07134093919
934	0.07130206255
935	0.07126699675
936	0.07122207181
937	0.07112947502
938	0.07109798885
939	0.07100554851
940	0.07097380451
941	0.07094414446
942	0.07090936271
943	0.07082029408
944	0.07078904258
945	0.07069357492
946	0.0706009707
947	0.07055131403
948	0.07046323547
949	0.07041385804
950	0.07035148508
951	0.07028556218
952	0.07019166627
953	0.07016446856
954	0.07008830637
955	0.07002895312
956	0.06995251742
957	0.06990784101
958	0.06983562526
959	0.06980320502
960	0.06972369055
961	0.06969381795
962	0.06966324345
963	0.06959253307
964	0.0695085939
965	0.06943881026
966	0.06940881014
967	0.06938216132
968	0.06931159495
969	0.06928526133
970	0.06925789532
971	0.06917985682
972	0.06915070185
973	0.069075322
974	0.06899235226
975	0.06893262157
976	0.06890644415
977	0.06887439525
978	0.06881004485
979	0.06872756943
980	0.06864038996
981	0.06856411339
982	0.06848033845
983	0.0683800179
984	0.06830123658
985	0.06824556933
986	0.06821985549
987	0.06819702097
988	0.06815984274
989	0.06813476369
990	0.06810133675
991	0.06807760659
992	0.06800424075
993	0.06791667404
994	0.06784025771
995	0.06776786077
996	0.06768273704
997	0.06761486718
998	0.06753336447
999	0.06745616873
